epoch,epoch_loss,epoch_accuracy,val_loss,val_accuracy,test_loss,test_accuracy
1,2.0171788930892944,50.0,8.479321479797363,0.0,,
2,2.0294684171676636,50.0,8.503511428833008,0.0,,
3,1.6360628604888916,50.0,8.38398551940918,0.0,,
4,1.5864230394363403,50.0,8.270942687988281,0.0,,
5,1.422809362411499,50.0,8.133014678955078,0.0,,
6,1.2996420860290527,50.0,7.9542012214660645,0.0,,
7,1.1094050109386444,50.0,7.791132926940918,0.0,,
8,1.0761600732803345,50.0,7.693378448486328,0.0,,
9,0.9172108471393585,50.0,7.611045837402344,0.0,,
10,0.851630449295044,50.0,7.554429531097412,0.0,,
